wrf_date;data;stn_id;temp;rain;windU;windV;pressure
21.12.2023;24.12.2023 18:00;35284;-6.6;0;-2.3;4;1059.7
21.12.2023;24.12.2023 21:00;35284;-6.8;0;-3.3;3.4;947.7
21.12.2023;25.12.2023 00:00;35284;-6.4;0;-3.6;4.4;795
21.12.2023;25.12.2023 03:00;35284;-4.2;0;-2.4;5.9;677.8
21.12.2023;25.12.2023 06:00;35284;-1.1;0;0.3;6.3;670.3
21.12.2023;25.12.2023 09:00;35284;0.5;0;4.2;6.4;800.4
21.12.2023;25.12.2023 12:00;35284;-1;0;5.6;3.3;1221.7
21.12.2023;25.12.2023 15:00;35284;-2.9;0;2.5;2;1453.1
21.12.2023;25.12.2023 18:00;35284;-3.8;0;-0.4;3.9;1397.4
21.12.2023;25.12.2023 21:00;35284;-2.8;0;-3.8;2.3;1198.1
21.12.2023;26.12.2023 00:00;35284;-2.8;0;-6;1.1;828.1
21.12.2023;26.12.2023 03:00;35284;-3;0;-6.8;1.9;358
21.12.2023;26.12.2023 06:00;35284;-0.5;1.8;-3.8;4.1;-114.3
21.12.2023;26.12.2023 09:00;35284;0.3;1.3;4.7;8.1;-142
21.12.2023;26.12.2023 12:00;35284;-0.7;0.6;5.6;8.9;136
21.12.2023;26.12.2023 15:00;35284;-4.5;0.3;8.1;8.7;574.5
21.12.2023;26.12.2023 18:00;35284;-5.5;0.1;5.9;8.1;821.1
21.12.2023;26.12.2023 21:00;35284;-3.4;0.6;1.2;9.8;715.1
21.12.2023;27.12.2023 00:00;35284;-3.2;1.5;2.6;10.3;690.2
21.12.2023;27.12.2023 03:00;35284;-1.8;0.4;4.9;9.4;801.5
21.12.2023;27.12.2023 06:00;35284;-0.5;0.2;4.5;8.6;978.1
21.12.2023;27.12.2023 09:00;35284;0;0.1;4.9;7.1;1086.5
21.12.2023;27.12.2023 12:00;35284;-0.5;0.2;3.6;8.8;1221.6
21.12.2023;27.12.2023 15:00;35284;-0.5;1.3;0.9;9.3;1008.1
21.12.2023;27.12.2023 18:00;35284;0.3;3;3.2;8.5;742.4
21.12.2023;27.12.2023 21:00;35284;0.6;2.6;5;9.1;484.3
21.12.2023;28.12.2023 00:00;35284;0.8;1.1;8.9;4.7;727.4
21.12.2023;21.12.2023 00:00;35796;-5.3;0;0.8;1.6;3662.3
21.12.2023;21.12.2023 03:00;35796;-5.9;0;-0.2;1.2;3685.8
